ip,port,total_packets,window_size,perror,payload_size,mbps
10.0.0.21,12345,400000,400,0.0,2500,0
192.168.1.1,12345,400000,400,0.0,2500,0
192.168.1.1,12345,400000,400,0.0,2500,0
192.168.1.1,12345,400000,400,0.0,2500,0
192.168.1.1,12345,400000,400,0.0,2500,0
192.168.1.1,12345,400000,400,0.0,2500,2662.2925
192.168.1.1,12345,400000,400,0.0,2500,3053.44
192.168.1.1,12345,400000,10000,0.0,2500,3007.52
192.168.1.1,12345,400000,10000,0.0,2500,3018.87
192.168.1.1,12345,400000,10000,0.0,2500,170.88429047619047
192.168.1.1,12345,400000,10000,0.0,2500,2941.18
192.168.1.1,12345,400000,10000,0.0,2500,184.30318181818183
192.168.1.1,12345,400000,5000,0.0,2500,2905.6
