ip,port,total_packets,window_size,payload_size,mbps
192.168.1.2,12345,4000,400,2500,47.83551583328571
192.168.1.2,12345,4000,4000,2500,173.15742163333334
192.168.1.2,12345,4000,4000,2500,267.486857825
192.168.1.2,12345,4000,4000,2500,230.701153025
192.168.1.1,12345,400000,400,2500,2144.292181422
192.168.1.2,12345,4000,1000,2500,185.85946867285713
192.168.1.1,12345,40000,10000,2500,1350.14535145
192.168.1.1,12345,40000,10000,2500,1326.35532395
192.168.1.1,12345,40000,10000,2500,1344.1152893
192.168.1.1,12345,40000,10000,2500,1321.6952213499999
192.168.1.1,12345,400000,5000,2500,2185.895039525
192.168.1.2,12345,10000,5000,2500,674.436754875
192.168.1.2,12345,10000,500,2500,112.09483391428572
192.168.1.2,12345,10000,500,2500,107.26624080769231
192.168.1.2,12345,10000,5000,2500,728.1760602222222
192.168.1.2,12345,10000,5000,2500,709.9367045714285
192.168.1.2,12345,50000,5000,2500,994.4256002916667
